plot_id,altitude,BOP_n,EPB_n,EPR_n,ERR_n,PET_n,BOJ_n,CHR_n,ERS_n,PRP_n,SAB_n,EPN_n,MEL_n,PIB_n,THO_n,PEG_n,PIG_n,PIR_n,HEG_n,FRN_n,FRA_n,OSV_n,TIL_n,ERP_n,SOA_n,ERE_n,PEB_n,SAL_n,BOG_n,SAP_n,SOD_n,ORA_n,AME_n,AUR_n,PRU_n,CET_n,PIS_n,ORR_n,ORT_n,SAC_n,FRP_n,PRV_n,CAR_n,PEH_n,NOC_n,CHG_n,ERA_n,CAC_n,AUC_n,NEM_n,MEU_n,CRA_n,MAS_n,EPO_n,ERG_n,CAF_n,CHB_n,CHE_n,ERN_n,PED_n,COC_n,COA_n,MEJ_n,CEO_n,RHM_n,PRN_n,ROP_n,BOP_ba,EPB_ba,EPR_ba,ERR_ba,PET_ba,BOJ_ba,CHR_ba,ERS_ba,PRP_ba,SAB_ba,EPN_ba,MEL_ba,PIB_ba,THO_ba,PEG_ba,PIG_ba,PIR_ba,HEG_ba,FRN_ba,FRA_ba,OSV_ba,TIL_ba,ERP_ba,SOA_ba,ERE_ba,PEB_ba,SAL_ba,BOG_ba,SAP_ba,SOD_ba,ORA_ba,AME_ba,AUR_ba,PRU_ba,CET_ba,PIS_ba,ORR_ba,ORT_ba,SAC_ba,FRP_ba,PRV_ba,CAR_ba,PEH_ba,NOC_ba,CHG_ba,ERA_ba,CAC_ba,AUC_ba,NEM_ba,MEU_ba,CRA_ba,MAS_ba,EPO_ba,ERG_ba,CAF_ba,CHB_ba,CHE_ba,ERN_ba,PED_ba,COC_ba,COA_ba,MEJ_ba,CEO_ba,RHM_ba,PRN_ba,ROP_ba,id2,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040,geom,OBJECTID,ORIG_FID,Shape_Leng,Shape_Area,InPoly_FID,MaxSimpTol,MinSimpTol,Elevation,Slope,Aspect,TPI,TRI,TWI,Curv_class,Insol_total,Insol_direct,Insol_diffuse,Wind_exposition,AspectClass,Clay,CEC,Organic_Matter,Silt,pH,Sand,longitude,latitude
1001002601,513,25,25,0,0,0,16,0,523,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.539,0.196,0,0,0,1.629,0,17.191,0,0.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001002601,2.6,17.3,-14.2,31.5,1085,534,11.6,32.4,1465,1480,5640,69,140,149,261,112,386,-40.5,34.8,-9999,615,50,58,62.76,694,"c(-486732.605400003, 324794.345400002)",1,1,39.2922071797,1.44007104332,1,0.00134898306911,0.00134898306911,514.55206298828125,12.779964447021484,298.4828796386719,0.029735565185546875,2.896186590194702,6.218445777893066,4,1568.53173828125,1242.6541748046875,325.8775939941406,1.1005886793136597,8,5.619910717010498,4.172181129455566,10.819413185119629,23.572349548339844,3.6593751907348633,70.8294906616211,198989.1081842719,5176866.965075435
1001002602,510,250,25,0,25,0,0,0,0,0,800,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.221,0.283,0,0.196,0,0,0,0,0,10.133,1.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001002602,2.6,17.3,-14.2,31.5,1084,533,11.7,32.5,1462,1483,5634,69,140,149,261,112,385,-40.5,34.8,-9999,615,50,58,62.65,696,"c(-486504.101899996, 324476.554200001)",1,1,39.2922071797,1.44007104332,1,0.00134898306911,0.00134898306911,510.1107177734375,0.28871113061904907,358.8982238769531,-0.19439315795898438,0.22360534965991974,8.91542911529541,1,1708.1295166015625,1377.9554443359375,330.174072265625,1.0517399311065674,1,5.591619968414307,4.142840385437012,10.749337196350098,23.042041778564453,3.684894561767578,71.38501739501953,199240.12790436996,5176565.908306125
1001002603,531,25,0,25,200,0,25,0,66,25,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785,0,0.385,3.086,0,1.131,0,4.169,0.196,6.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001002603,2.5,17.2,-14.3,31.5,1091,536,11.5,32.2,1476,1466,5666,66,139,149,261,112,392,-40.5,34.7,-9999,612,47,58,63.64,684,"c(-486161.566299997, 324310.860300001)",1,1,39.2922071797,1.44007104332,1,0.00134898306911,0.00134898306911,531.2449951171875,2.1100268363952637,329.9270935058594,1.6005325317382813,1.2551603317260742,10.046268463134766,8,1684.7344970703125,1355.346435546875,329.3880920410156,1.1705725193023682,8,5.1114044189453125,4.052914142608643,11.117305755615234,21.94879913330078,3.6874172687530518,72.95645904541016,199594.1488457577,5176424.948031106
1001002701,505,0,0,0,0,0,132,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.627,0,9.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001002701,2.6,17.3,-14.2,31.6,1080,532,11.7,32.5,1462,1486,5631,69,140,149,261,112,383,-40.5,34.9,-9999,616,50,58,62.18,698,"c(-484047.4758, 325256.494600002)",1,1,39.2922071797,1.44007104332,1,0.00134898306911,0.00134898306911,505.8782653808594,15.097875595092773,133.6099090576172,0.48790740966796875,3.6049537658691406,6.472063064575195,8,1849.0291748046875,1524.764892578125,324.2643127441406,1.04310941696167,4,6.200983047485352,4.76616096496582,11.434826850891113,21.881025314331055,3.7248661518096924,71.92928314208984,201638.11374889757,5177520.967825166
1001002702,501,25,0,25,50,0,137,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503,0,0.385,1.139,0,16.127,0,0,0,9.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001002702,2.7,17.3,-14.2,31.6,1080,532,11.7,32.6,1459,1489,5625,70,140,149,262,113,382,-40.4,34.9,-9999,616,51,58,62.05,700,"c(-484405.629000001, 325119.9727)",1,1,39.2922071797,1.44007104332,1,0.00134898306911,0.00134898306911,501.52386474609375,5.094203472137451,149.80274963378906,0.96823883056640625,1.4713746309280396,8.092872619628906,8,1795.276123046875,1465.322509765625,329.95355224609375,1.0538368225097656,4,5.559354305267334,4.4894914627075195,11.072128295898438,21.75688934326172,3.734009265899658,72.69537353515625,201290.13975295145,5177358.94638694
1001002703,540,0,0,0,0,0,32,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.680000000000001,0,17.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001002703,2.5,17.2,-14.3,31.5,1090,536,11.5,32,1482,1459,5679,65,139,150,261,111,393,-40.6,34.8,-9999,612,46,58,63.57,679,"c(-483872.775799997, 325542.3059)",1,1,39.2922071797,1.44007104332,1,0.00134898306911,0.00134898306911,541.10498046875,3.711513042449951,31.92902374267578,-0.50919342041015625,1.0898981094360352,7.357588291168213,0,1655.373046875,1326.606201171875,328.7668762207031,1.174118161201477,2,4.1171135902404785,4.3069047927856445,11.745083808898926,23.14223289489746,3.6897456645965576,72.75904083251953,201792.14906893566,5177818.972119462
1001002704,547,0,0,0,0,0,16,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.158,0,26.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001002704,2.5,17.1,-14.4,31.5,1092,537,11.4,31.9,1486,1455,5689,64,138,150,261,111,395,-40.6,34.7,-9999,611,45,58,63.87,676,"c(-483986.900300004, 325403.341899998)",1,1,39.2922071797,1.44007104332,1,0.00134898306911,0.00134898306911,546.71551513671875,13.81445026397705,163.82382202148438,2.2916030883789063,3.3859431743621826,5.528015613555908,8,1929.912109375,1605.5469970703125,324.3651428222656,1.218082308769226,5,4.336400985717773,4.439546585083008,12.096720695495605,22.749622344970703,3.6965603828430176,72.92937469482422,201688.10425576993,5177671.989527772
1001002801,537,0,0,75,0,0,305,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.171,0,0,18.612,0,1.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001002801,2.5,17.2,-14.3,31.5,1089,536,11.5,32.1,1479,1464,5672,66,139,149,261,112,392,-40.5,34.7,-9999,612,46,58,63.45,683,"c(-483932.522399999, 324695.608600002)",1,1,39.2922071797,1.44007104332,1,0.00134898306911,0.00134898306911,537.1480712890625,2.808635711669922,342.0643615722656,0.49619293212890625,0.6964494585990906,8.85090446472168,8,1672.4068603515625,1343.302001953125,329.1048583984375,1.1472723484039307,1,4.757770538330078,4.016514301300049,8.977740287780762,21.913707733154297,3.706721782684326,73.34796905517578,201793.10875642532,5176968.944790422
1001002802,550,625,0,25,25,0,123,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.565,0,0.385,0.196,0,9.787,0,9.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001002802,2.5,17.2,-14.4,31.5,1092,538,11.4,31.9,1487,1456,5689,65,138,150,261,111,396,-40.6,34.7,-9999,611,45,58,63.95,677,"c(-483998.127899997, 324450.0174)",1,1,39.2922071797,1.44007104332,1,0.00134898306911,0.00134898306911,550.04290771484375,3.3225061893463135,22.5413818359375,-0.72686767578125,0.9210805892944336,7.950168132781982,0,1686.749755859375,1358.0101318359375,328.7395935058594,1.1703678369522095,2,5.837156295776367,4.212801456451416,9.814257621765137,22.774145126342773,3.6932878494262695,71.40983581542969,201745.16649158671,5176718.932440269
1001002803,510,0,0,0,0,0,166,0,291,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.652,0,9.446,0,0.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001002803,2.6,17.3,-14.2,31.6,1082,533,11.7,32.5,1464,1483,5637,69,140,149,261,112,384,-40.5,34.8,-9999,615,50,58,62.38,696,"c(-483713.938600004, 324979.308499999)",1,1,39.2922071797,1.44007104332,1,0.00134898306911,0.00134898306911,509.8614196777344,4.982049465179443,319.1961364746094,-0.058017730712890625,1.0624945163726807,8.027158737182617,4,1648.361328125,1318.740966796875,329.62042236328125,1.053133249282837,8,4.893511772155762,4.164495944976807,9.781766891479492,22.930137634277344,3.710737466812134,72.19463348388672,201991.12872525223,5177267.979831628
